teencode;mean
acc;account
ace;anh chị em
ad;admin
ae;anh em
ah;à
àh;à
ạh;ạ
àk;à
ák;á
ạk;ạ
atsm;ảo tưởng sức mạnh
atrai;anh trai
aye;anh yêu em
baoh;bao giờ
bằg;bằng
bbè;bạn bè
bgái;bạn gái
biet;biết
biêt;biết
bìh;bình
bik;biết
bme;bố mẹ
bn;bạn
bnhiêu;bao nhiêu
bnhiu;bao nhiêu
bóg;bóng
bsĩ;bác sĩ
bsvv;buổi sáng vui vẻ
bth;bình thường
bthường;bình thường
btrai;bạn trai
buôg;buông
càg;càng
cbị;chuẩn bị
cđời;cuộc đời
ce;chị em
cgai;con gái
cgái;con gái
cj;chị
ck;chồng
cka;cha
clmm;cái lồn mẹ mày
cmày;chúng mày
cmm;con mẹ mày
cmn;con mẹ nó
cmnd;chứng minh nhân dân
cmnr;con mẹ nó rồi
cmt;comment
csong;cuộc sống
csống;cuộc sống
cta;chúng ta
ctác;công tác
cty;công ty
ctr;chương trình
ctrai;con trai
ctraj;con trai
ctrinh;chương trình
ctrình;chương trình
cùg;cùng
cũg;cũng
cũng z;cũng vậy
cv;công việc
cviec;công việc
cx;cũng
chàg;chàng
chăg;chăng
chk;chồng
chs;chẳng hiểu sao
chta;chúng ta
chuện;chuyện
chug;chung
chúg;chúng
dàh;dành
dc;được
dòg;dòng
dthương;dễ thương
dừg;dừng
dz;đẹp trai
dzậy;dậy
dzề;về
dzìa;về
dzô;vô
đag;đang
đág;đáng
đáh;đánh
đại ka;đại ca
đbh;đéo bao giờ
đc;được
đcsvn;đảng cộng sản việt nam
đhbkhn;đại học bách khoa hà nội
đhkhtn;đại học khoa học tự nhiên
đhọc;đại học
đhs;đéo hiểu sao
địh;định
đii;đi
điiiiiii;đi
đjên;điên
đk;đăng ký
đki;đăng ký
đkiện;điều kiện
đky;đăng ký
đóg;đóng
đôg;đông
đồg;đồng
độg;động
đt;điện thoại
đtqg;đội tuyển quốc gia
đthoai;điện thoại
đthoại;điện thoại
đứg;đứng
đươc;được
đz;đẹp giai
đzai;đẹp trai
e;em
eya;em yêu anh
face;facebook
fải;phải
fây;phây
fb;facebook
fen;friend
gắg;gắng
gđ;gia đình
gđình;gia đinh
giốg;giống
hahah;ha ha
haj;hai
hajzz;hai
hđộng;hành động
hêhê;hê hê
hìh;hình
hiha;hi ha
hjhj;hi hi
hjx;hix
hkì;học kỳ
hnay;hôm nay
hok;không
họk;học
hong kong;hồng kông
hoy;thôi
hôg;không
hphúc;hạnh phúc
hqua;hôm qua
hsơ;hồ sơ
htrc;hôm trước
ib;inbox
ik;đi
in4;info
insta;instagram
iu;yêu
j;gì
ji;gì
jo;giờ
júp;giúp
k;không
K0;không
kái;cái
kảm;cảm
kậu;cậu
kb;kết bạn
keke;ce ce
kêh;kênh
kih;kinh
klq;không liên quan
ko;không
kòn;còn
kô;không
kqua;kết quả
ksao;không sao
kte;kinh tế
ktra;kiểm tra
ku;cu
kủa;của
kũg;cũng
kh;không
khg;không
khoảg;khoảng
khox;khóc
khôg;không
khum;không
lạh;lạnh
lặg;lặng
lgi;làm gì
llac;liên lạc
lm;làm
lmht;liên minh huyền thoại
lòg;lòng
lquan;liên quan
lquen;làm quen
ltinh;linh tinh
lúk;lúc
lz;làm gì
lzi;làm gì
m;mày
mih;mình
mik;mình
mik;mình
mìnk;mình
mjh;mình
mk;mình
mn;mọi người
mng;mọi người
mớj;mới
mơm;cảm ơn    
mqh;mối quan hệ
ms;mới
my fen;my friend
nàg;nàng
nayd;này
năg;năng
nắg;nắng
nặg;nặng
nch;nói chuyện
nek;nè
nèk;nè
nkư;như
nkưng;nhưng
nógn;nóng
ns;nói
nta;người ta
ntn;như thế nào
ntnao;như thế nào
ntnày;như thế này
nthe;như thế
nthê;như thế
nthế;như thế
nvay;như vậy
nvậy;như vậy
nvqs;nghĩa vụ quân sự
ny;người yêu
nyc;người yêu cũ
nyêu;người yêu
ng;người
ngag;ngang
ngàh;ngành
ngđo;người đó
ngđó;người đó
ngèo;nghèo
nghành;ngành
ngía;nghía
ngke;nghe
ngkhác;người khác
ngốk;ngốc
ngta;người ta
nguoi;người
ngừoi;người
ngyeu;người yêu
nhaa;nha
nhiềuuu;nhiều
nhjeu;nhiều
nhoé;nhé
nhưg;nhưng
nhữg;những
nhưq;nhưng
oh;ồ
on lai;online
onl;online
oy;rồi
òy;rồi
ơiii;ơi
ơiiii;ơi
pjt;biết
plz;please
pn;bạn
phog;phong
phòg;phòng
qà;quà
qả;quả
qá;quá
qc;quảng cáo
